product_id,product_name,description,brand,gender,category,subcategory,colour_raw,colour_normalized,price,material,fit,pattern,sleeve,occasion,season,size,rating,image_path
1617,Reebok Men Shoot T-Shirt Red,,VYRA,,tshirt,,Red,red,799,,,,,,,,,images/1617.jpg
22398,Mark Taylor Men Striped White Shirt,,VYRA,,shirt,,White,white,499,,,,,,,,,images/22398.jpg
33080,U.S. Polo Assn. Denim Co. Men Printed Cream T-Shirt,,VYRA,,tshirt,,White,white,1299,,,,,,,,,images/33080.jpg
43270,Aneri Women Red Kurta,,VYRA,,kurta,,Red,red,1199,,,,,,,,,images/43270.jpg
1752,Lotto Men Red Epic T-shirt,,VYRA,,tshirt,,Red,red,1199,,,,,,,,,images/1752.jpg
20216,Wrangler Men Rib Red Sweater,,VYRA,,sweater,,Red,red,899,,,,,,,,,images/20216.jpg
11369,United Colors Of Benetton Women Light Winter Pink Tops,,VYRA,,top,,Pink,pink,799,,,,,,,,,images/11369.jpg
20668,Classic Polo Men Striped Maroon Tshirt,,VYRA,,tshirt,,Maroon,maroon,699,,,,,,,,,images/20668.jpg
43500,French Connection Men White T-shirt,,VYRA,,tshirt,,White,white,1799,,,,,,,,,images/43500.jpg
25926,Femella Women Red T-shirt,,VYRA,,tshirt,,Red,red,599,,,,,,,,,images/25926.jpg
44894,Puma Men Red T-shirts,,VYRA,,tshirt,,Red,red,499,,,,,,,,,images/44894.jpg
23323,W Women Red Kurta,,VYRA,,top,,Red,red,699,,,,,,,,,images/23323.jpg
3903,Disney Kids Girl's Minnie And Daisy Yellow Kidswear,,VYRA,,tshirt,,Yellow,yellow,1099,,,,,,,,,images/3903.jpg
16439,Levi's Men Printed Red Tshirts,,VYRA,,tshirt,,Red,red,1199,,,,,,,,,images/16439.jpg
11033,Jealous 21 Women Check Red Tops,,VYRA,,top,,Red,red,499,,,,,,,,,images/11033.jpg
16332,Peter England Men Stripes Red Shirt,,VYRA,,shirt,,Red,red,1099,,,,,,,,,images/16332.jpg
22766,BIBA Women Solid Red Kurta,,VYRA,,kurta,,Red,red,1799,,,,,,,,,images/22766.jpg
20228,Wrangler Women Cable Red Sweater,,VYRA,,sweater,,Red,red,1199,,,,,,,,,images/20228.jpg
19105,Mother Earth Women Printed Red Kurta,,VYRA,,kurta,,Red,red,1899,,,,,,,,,images/19105.jpg
35983,Flying Machine Women Poopy Red T-shirt,,VYRA,,tshirt,,Red,red,1299,,,,,,,,,images/35983.jpg
4804,ADIDAS Men's Coffer Red T-shirt,,VYRA,,tshirt,,Red,red,499,,,,,,,,,images/4804.jpg
12304,Genesis Men Stripes Red Shirts,,VYRA,,shirt,,Red,red,999,,,,,,,,,images/12304.jpg
21426,Roxy Women Pink T-shirt,,VYRA,,tshirt,,Pink,pink,1799,,,,,,,,,images/21426.jpg
10336,United Colors of Benetton Women Stripes Black Tops,,VYRA,,top,,Black,black,1499,,,,,,,,,images/10336.jpg
4359,Free Authority Men's Melting Records Black T-shirt,,VYRA,,tshirt,,Black,black,1299,,,,,,,,,images/4359.jpg
10878,Wrangler Men Red Polo Tshirts,,VYRA,,tshirt,,Red,red,899,,,,,,,,,images/10878.jpg
42672,Alma Women Red Printed Kurta,,VYRA,,kurta,,Red,red,1099,,,,,,,,,images/42672.jpg
32592,ONLY Women Pink Top,,VYRA,,top,,Pink,pink,1499,,,,,,,,,images/32592.jpg
31242,Puma Men Attack White T-shirt,,VYRA,,tshirt,,White,white,799,,,,,,,,,images/31242.jpg
45960,Tokyo Talkies Women Red T-shirt,,VYRA,,tshirt,,Red,red,699,,,,,,,,,images/45960.jpg
20247,Wrangler Women Striped Purple Top,,VYRA,,top,,Magenta,magenta,1699,,,,,,,,,images/20247.jpg
40954,Gini and Jony Boys Rodeo Red T-shirt,,VYRA,,tshirt,,Red,red,799,,,,,,,,,images/40954.jpg
27356,Tantra Men 50 Bubbles White T-shirt,,VYRA,,tshirt,,White,white,1599,,,,,,,,,images/27356.jpg
39113,Angry Birds Men Red Printed T-shirt,,VYRA,,tshirt,,Red,red,1599,,,,,,,,,images/39113.jpg
12785,Mother Earth Women Checks Pink Shirts,,VYRA,,top,,Pink,pink,1299,,,,,,,,,images/12785.jpg
30618,Nike Men Printed Red T-shirt,,VYRA,,tshirt,,Red,red,599,,,,,,,,,images/30618.jpg
19528,United Colors of Benetton Men Solid Red Sweater,,VYRA,,sweater,,Red,red,1899,,,,,,,,,images/19528.jpg
31660,Indigo Nation Men Printed Black Shirt,,VYRA,,shirt,,Black,black,799,,,,,,,,,images/31660.jpg
18305,Wills Lifestyle Men Striped Pink Shirt,,VYRA,,shirt,,Pink,pink,1699,,,,,,,,,images/18305.jpg
30845,Fabindia Women Rust Printed Kurta,,VYRA,,kurta,,Red,red,699,,,,,,,,,images/30845.jpg
4752,ADIDAS Men's Red Polo T-shirt,,VYRA,,tshirt,,Red,red,1399,,,,,,,,,images/4752.jpg
41301,Gini and Jony Grils Polo Striped Pink T-shirt,,VYRA,,tshirt,,Pink,pink,1599,,,,,,,,,images/41301.jpg
1578,Domyos Men Good Stroke Red T-shirt,,VYRA,,tshirt,,Red,red,1099,,,,,,,,,images/1578.jpg
21919,BIBA Women Printed Red Kurta,,VYRA,,kurta,,Red,red,699,,,,,,,,,images/21919.jpg
38798,Free Authority Men Pink T-shirt,,VYRA,,tshirt,,Pink,pink,599,,,,,,,,,images/38798.jpg
22372,Mark Taylor Men White Striped Red Shirt,,VYRA,,shirt,,Red,red,1199,,,,,,,,,images/22372.jpg
28908,BIBA Women Printed Red Kurta,,VYRA,,kurta,,Red,red,1399,,,,,,,,,images/28908.jpg
2024,ADIDAS Mens Fitted Red T-shirt,,VYRA,,tshirt,,Red,red,699,,,,,,,,,images/2024.jpg
17608,Doodle Sporty Girl dark Pink Tshirts,,VYRA,,tshirt,,Pink,pink,1199,,,,,,,,,images/17608.jpg
1991,ADIDAS Womens Blue  Polo T-shirt,,VYRA,,tshirt,,Blue,blue,799,,,,,,,,,images/1991.jpg
